Vuosi,"Asemakaava-alueet yhteensä, ha",Asuinalueet,Yleisten rakennusten alueet,Teollisuus- ja varastoalueet,Puisto- ja urheilualueet,Muut alueet,"Asemakaava-alueiden ulkopuoliset alueet yhteensä, ha"
2011,2057,727,82,176,481,606,63078
2012,2086,739,80,176,489,617,63049
2013,2095,743,79,176,490,622,63040
2014,2173,757,80,181,541,629,62962
2015,2187,766,81,182,540,633,62948
2016,2198,773,85,183,537,635,62937
2017,2371,777,89,205,540,772,62764
2018,2381,781,89,207,540,776,62754
2019,2439,796,90,210,550,805,62696
2020,2468,803,91,203,559,824,62667
2021,2468,804,91,203,559,823,62667
