nro,kid,Nimi,vuosi,vero_pro,evlut_pro,orto_pro
1,020,Akaa,2023,"9,36","1,70","2,00"
2,005,Alajärvi,2023,"9,11","1,70","2,00"
3,009,Alavieska,2023,"9,36","1,80","2,10"
4,010,Alavus,2023,"8,61","1,70","2,00"
5,016,Asikkala,2023,"8,11","1,75","1,80"
6,018,Askola,2023,"8,86","1,75","1,80"
7,019,Aura,2023,"8,86","1,30","1,75"
8,035,Brändö,2023,"17,75","2,00","1,75"
9,043,Eckerö,2023,"18,50","1,80","1,75"
10,046,Enonkoski,2023,"8,36","1,60","1,95"
11,047,Enontekiö,2023,"8,61","1,65","2,10"
12,049,Espoo,2023,"5,36","1,00","1,80"
13,050,Eura,2023,"8,36","1,45","1,75"
14,051,Eurajoki,2023,"5,36","1,60","2,00"
15,052,Evijärvi,2023,"9,86","1,70","2,00"
16,060,Finström,2023,"19,50","1,95","1,75"
17,061,Forssa,2023,"7,86","1,40","1,80"
18,062,Föglö,2023,"17,50","2,00","1,75"
19,065,Geta,2023,"18,50","1,95","1,75"
20,069,Haapajärvi,2023,"9,86","1,70","2,00"
21,071,Haapavesi,2023,"9,36","1,80","2,00"
22,072,Hailuoto,2023,"7,86","1,80","2,10"
23,074,Halsua,2023,"10,86","1,65","2,00"
24,075,Hamina,2023,"8,36","1,55","1,85"
25,076,Hammarland,2023,"18,00","1,80","1,75"
26,077,Hankasalmi,2023,"9,36","1,95","2,00"
27,078,Hanko,2023,"9,11","1,60","1,80"
28,079,Harjavalta,2023,"8,86","1,70","1,75"
29,081,Hartola,2023,"8,86","1,70","1,95"
30,082,Hattula,2023,"8,11","1,45","1,80"
31,086,Hausjärvi,2023,"8,86","1,75","1,80"
32,111,Heinola,2023,"7,86","1,45","1,80"
33,090,Heinävesi,2023,"8,86","1,60","1,95"
34,091,Helsinki,2023,"5,36","1,00","1,80"
35,097,Hirvensalmi,2023,"7,36","1,70","1,95"
36,098,Hollola,2023,"8,36","1,70","1,80"
37,102,Huittinen,2023,"8,36","1,60","1,75"
38,103,Humppila,2023,"9,36","1,85","1,80"
39,105,Hyrynsalmi,2023,"9,11","1,70","2,10"
40,106,Hyvinkää,2023,"7,61","1,25","1,80"
41,108,Hämeenkyrö,2023,"9,36","1,70","2,00"
42,109,Hämeenlinna,2023,"8,36","1,30","1,80"
43,139,Ii,2023,"8,86","1,50","2,10"
44,140,Iisalmi,2023,"7,86","1,65","2,00"
45,142,Iitti,2023,"8,61","1,65","1,80"
46,143,Ikaalinen,2023,"9,36","1,85","2,00"
47,145,Ilmajoki,2023,"8,36","1,75","2,00"
48,146,Ilomantsi,2023,"8,36","1,60","2,00"
49,153,Imatra,2023,"7,36","1,65","1,85"
50,148,Inari,2023,"6,36","1,90","2,10"
51,149,Inkoo,2023,"8,11","1,75","1,80"
52,151,Isojoki,2023,"9,86","1,75","2,00"
53,152,Isokyrö,2023,"8,86","1,75","2,00"
54,165,Janakkala,2023,"8,36","1,65","1,80"
55,167,Joensuu,2023,"7,86","1,50","2,00"
56,169,Jokioinen,2023,"8,61","1,80","1,80"
57,170,Jomala,2023,"16,50","1,70","1,75"
58,171,Joroinen,2023,"8,61","1,70","1,95"
59,172,Joutsa,2023,"8,36","2,00","1,95"
60,176,Juuka,2023,"8,11","1,70","1,85"
61,177,Juupajoki,2023,"8,36","1,75","2,00"
62,178,Juva,2023,"8,11","1,65","1,95"
63,179,Jyväskylä,2023,"7,36","1,45","1,95"
64,181,Jämijärvi,2023,"9,86","1,80","2,00"
65,182,Jämsä,2023,"8,36","1,55","2,00"
66,186,Järvenpää,2023,"7,61","1,25","1,80"
67,202,Kaarina,2023,"7,61","1,20","1,75"
68,204,Kaavi,2023,"9,36","1,45","2,00"
69,205,Kajaani,2023,"8,36","1,60","2,10"
70,208,Kalajoki,2023,"8,36","1,60","2,10"
71,211,Kangasala,2023,"8,36","1,35","2,00"
