Kunta;Vuosi;Kunta id;yht;a_asuminen;p_palvelut;y_yleiset_rakennukset;c_keskustatoiminnot;k_liikkeet_toimistot;t_teollisuus;v_virkistys;r_loma_ja_matkailualueet;l_liikenne;e_erityisalueet;s_suojelu;m_maa_metsatalous;v_vesialueet
Kangasala;2003;211;64015;44622;0;5400;0;3600;10393;0;0;0;0;0;0;0
Lempäälä;2003;418;-940;-940;0;0;0;0;0;0;0;0;0;0;0;0
Nokia;2003;536;189402;55592;0;3456;0;31552;90469;0;0;8333;0;0;0;0
Orivesi;2003;562;9330;140;0;0;0;9390;0;0;0;0;-200;0;0;0
Pirkkala;2003;604;16798;13958;0;2840;0;0;0;0;0;0;0;0;0;0
Tampere;2003;837;-382;-382;0;0;0;0;0;0;0;0;0;0;0;0
Vesilahti;2003;922;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ylöjärvi;2003;980;53170;50870;0;0;0;0;2300;0;0;0;0;0;0;0
Kangasala;2004;211;15747;14106;0;4950;0;1091;-4470;0;0;70;0;0;0;0
Lempäälä;2004;418;57905;61988;0;-21355;0;46399;-28015;0;0;0;-1112;0;0;0
Nokia;2004;536;143419;12917;0;1612;0;21433;108951;0;48;-745;0;0;-797;0
Orivesi;2004;562;-4467;-3516;0;-3860;0;4081;0;0;0;-1322;150;0;0;0
Pirkkala;2004;604;23816;18496;0;3020;0;0;2300;0;0;0;0;0;0;0
Tampere;2004;837;135308;179053;0;18524;0;24039;-50220;20;0;-36368;260;0;0;0
Vesilahti;2004;922;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ylöjärvi;2004;980;41135;39070;0;-52975;0;0;54940;100;0;0;0;0;0;0
Kangasala;2005;211;4136;1378;-42;0;0;2400;400;0;0;0;0;0;0;0
Lempäälä;2005;418;134529;34678;0;0;0;21989;57166;0;0;0;0;0;20696;0
Nokia;2005;536;68962;60236;0;21134;0;-1490;-10918;0;0;0;0;0;0;0
Orivesi;2005;562;7350;7350;0;0;0;0;0;0;0;0;0;0;0;0
Pirkkala;2005;604;38256;31084;0;6344;0;828;0;0;0;0;0;0;0;0
Tampere;2005;837;264564;174236;8900;-47226;0;126549;-46651;40;0;1321;47395;0;0;0
Vesilahti;2005;922;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ylöjärvi;2005;980;109273;46878;21960;41735;0;-1300;0;0;0;0;0;0;0;0
Kangasala;2006;211;24440;14959;0;7000;0;0;2341;0;140;0;0;0;0;0
Lempäälä;2006;418;4843;6121;0;0;0;0;0;0;-1278;0;0;0;0;0
Nokia;2006;536;116416;84286;1667;5916;0;14959;9423;0;0;120;45;0;0;0
Orivesi;2006;562;9074;6038;0;3036;0;0;0;0;0;0;0;0;0;0
Pirkkala;2006;604;89736;24453;0;3000;0;-1227;63510;0;0;0;0;0;0;0
