sukupuoli,ika,211 Kangasala,2111 Länsi-Kangasala,211101 Eteläosa,211101001 Saarenmaa,211101002 Haapaniemi,211101003 Kuohenmaa,211102 Vatiala,211102001 Ilkko,211102002 Vatiala,211102003 Lamminrahka,211103 Suorama,211103001 Lentola,211103002 Asema,211104 Pohjoisosa,211104001 Ruutana,211104002 Suinula,211104003 Lihasula,211105 Keskusta,211105001 Ranta-Koivisto,211105002 Riku,211105003 Keskusta,211105004 Huutijärvi,211106 Keskiosa,211106001 Tiihala,211106002 Saarikylät,211106003 Vääksy,211106004 Raudanmaa,211106005 Raikku,2112 Itä-Kangasala,211201 Sahalahti,211201001 Sahalahti,211201002 Lahdenkulma,211201003 Pakkala,211202 Kuhmalahti,211202001 Kuhmalahden kirkonkylä,211202002 Pohja,211202003 Vehkajärvi,211999999 211 tuntematon
Miehet,0,185,169,4,1,2,1,31,11,20,0,48,36,12,25,22,3,0,55,8,5,31,11,6,2,0,1,2,1,16,9,6,1,2,7,4,0,3,0
Miehet,1,144,130,2,1,1,0,28,5,23,0,33,19,14,22,18,3,1,37,4,6,20,7,8,0,1,1,6,0,13,10,5,1,4,3,3,0,0,1
Miehet,2,172,161,1,1,0,0,41,13,28,0,44,30,14,19,17,2,0,49,6,3,33,7,7,2,0,1,4,0,11,8,5,1,2,3,3,0,0,0
Miehet,3,161,146,3,2,1,0,29,8,21,0,41,24,17,26,22,3,1,42,6,2,20,14,5,0,0,1,2,2,14,12,6,2,4,2,2,0,0,1
Miehet,4,170,155,3,1,1,1,33,8,25,0,54,31,23,26,22,4,0,37,7,4,19,7,2,0,0,1,1,0,15,12,8,0,4,3,3,0,0,0
Miehet,5,215,205,8,4,1,3,33,10,23,0,66,45,21,30,22,7,1,55,8,3,34,10,13,3,1,4,4,1,9,8,4,3,1,1,0,1,0,1
Miehet,6,218,197,3,0,0,3,41,7,34,0,56,40,16,33,30,3,0,56,6,4,33,13,8,2,0,1,2,3,20,16,8,5,3,4,3,1,0,1
Miehet,7,217,202,6,4,1,1,47,7,40,0,54,31,23,36,23,11,2,48,9,6,24,9,11,1,1,2,5,2,15,14,7,4,3,1,1,0,0,0
Miehet,8,216,202,7,4,1,2,54,11,43,0,56,34,22,31,27,4,0,38,4,3,20,11,16,2,1,3,6,4,14,11,8,1,2,3,1,1,1,0
Miehet,9,220,206,6,2,3,1,40,15,25,0,73,40,33,27,22,4,1,47,10,2,26,9,13,3,2,1,5,2,14,11,7,1,3,3,2,0,1,0
Miehet,10,196,179,8,5,3,0,30,8,22,0,50,33,17,32,22,8,2,50,10,1,33,6,9,1,2,1,4,1,17,16,12,2,2,1,1,0,0,0
Miehet,11,220,200,10,4,4,2,33,7,26,0,48,31,17,46,37,8,1,51,13,3,20,15,12,1,1,3,5,2,19,17,9,1,7,2,1,1,0,1
Miehet,12,237,219,6,2,4,0,27,6,21,0,79,43,36,27,22,5,0,72,11,5,40,16,8,3,1,1,3,0,17,15,8,4,3,2,2,0,0,1
Miehet,13,216,200,6,3,3,0,32,9,23,0,51,32,19,47,34,10,3,55,12,3,25,15,9,1,1,5,1,1,16,10,5,3,2,6,5,1,0,0
Miehet,14,239,230,7,3,3,1,36,8,28,0,66,40,26,33,25,6,2,77,18,5,41,13,11,2,1,4,4,0,9,7,2,4,1,2,1,1,0,0
Miehet,15,234,223,5,3,0,2,51,10,41,0,73,49,24,28,23,5,0,49,7,2,30,10,17,2,3,3,7,2,9,7,6,0,1,2,1,1,0,2
Miehet,16,226,209,5,4,0,1,40,12,28,0,56,35,21,34,24,8,2,62,11,6,37,8,12,3,1,3,4,1,17,10,6,4,0,7,3,3,1,0
Miehet,17,221,198,3,1,2,0,37,11,26,0,68,38,30,30,19,10,1,50,10,2,28,10,10,2,2,0,4,2,23,18,14,0,4,5,3,1,1,0
Miehet,18,197,187,3,2,1,0,34,10,24,0,63,42,21,22,13,8,1,56,6,5,30,15,9,2,1,1,4,1,10,6,4,0,2,4,4,0,0,0
Miehet,19,218,202,10,5,2,3,41,11,30,0,66,45,21,24,18,5,1,52,7,7,33,5,9,2,4,1,2,0,16,12,7,1,4,4,4,0,0,0
Miehet,20,158,152,6,5,0,1,28,4,24,0,43,35,8,15,7,6,2,53,4,7,35,7,7,1,1,3,2,0,5,4,3,0,1,1,0,0,1,1
Miehet,21,129,122,4,2,1,1,26,8,18,0,37,31,6,5,4,1,0,42,7,3,29,3,8,2,1,1,2,2,7,7,6,1,0,0,0,0,0,0
Miehet,22,107,97,0,0,0,0,34,7,27,0,24,21,3,7,6,1,0,30,3,3,20,4,2,1,0,0,0,1,8,6,5,0,1,2,1,1,0,2
Miehet,23,112,100,3,1,1,1,22,3,19,0,26,21,5,7,6,0,1,40,2,3,30,5,2,0,0,0,1,1,9,8,5,2,1,1,1,0,0,3
Miehet,24,111,91,0,0,0,0,15,0,15,0,30,25,5,5,4,1,0,37,3,1,26,7,4,1,0,0,3,0,19,9,6,0,3,10,6,3,1,1
Miehet,25,142,130,4,3,1,0,24,6,18,0,35,27,8,13,8,5,0,48,5,2,35,6,6,0,1,1,3,1,11,8,5,2,1,3,0,1,2,1
Miehet,26,136,126,2,2,0,0,26,4,22,0,34,22,12,11,8,3,0,49,10,3,27,9,4,0,1,1,1,1,9,6,5,1,0,3,2,0,1,1
Miehet,27,156,140,1,1,0,0,24,10,14,0,48,45,3,10,6,2,2,55,5,1,37,12,2,0,0,1,1,0,14,13,7,2,4,1,0,1,0,2
