Vuosi,Omakotitalot,Rivi- ja paritaloasunnot,Kerrostaloasunnot,Yhteensä
2000,115,20,37,172
2001,155,53,49,257
2002,101,23,184,308
2003,135,30,58,223
2004,129,48,59,236
2005,164,28,120,312
2006,204,34,18,256
2007,127,48,63,238
2008,107,78,64,249
2009,45,19,16,80
2010,98,39,,137
2011,112,76,55,243
2012,101,44,128,273
2013,89,26,22,137
2014,63,57,57,177
2015,49,10,101,160
2016,70,73,328,471
2017,50,52,151,253
2018,55,68,163,286
2019,58,42,199,299
2020,61,45,63,169
2021,79,79,211,369
